"atb;""dpt"";""nbtot"";""pourR"";""ICinf"";""ICsup"";""catR"""
"TrimÈthoprime-sulfamides;""68"";9;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""NR"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""17"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""33"";2;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""52"";24;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""71"";87;""46"";""35.2"";""57"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""04"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""76"";31;""41.9"";""24.5"";""60.9"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""40"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""61"";193;""43.5"";""36.4"";""50.8"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""02"";9;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""01"";64;""46.9"";""34.3"";""59.8"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""46"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""70"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""41"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""44"";70;""32.9"";""22.1"";""45.1"";""dans la moyenne"""
