"atb;""dpt"";""nbtot"";""pourR"";""ICinf"";""ICsup"";""catR"""
"Colistine;""86"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""39"";102;""5.9"";""2.2"";""12.4"";""dans la moyenne"""
"Colistine;""76"";48;""4.2"";""0.5"";""14.3"";""dans la moyenne"""
"Colistine;""85"";72;""8.3"";""3.1"";""17.3"";""dans la moyenne"""
"Colistine;""80"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""72"";28;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""36"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""41"";7;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""63"";95;""7.4"";""3"";""14.6"";""dans la moyenne"""
"Colistine;""12"";193;""2.1"";""0.6"";""5.2"";""en-dessous"""
"Colistine;""24"";37;""78.4"";""61.8"";""90.2"";""au-dessus"""
"Colistine;""64"";29;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""16"";23;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""34"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""73"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""01"";72;""12.5"";""5.9"";""22.4"";""dans la moyenne"""
"Colistine;""44"";42;""19"";""8.6"";""34.1"";""dans la moyenne"""
"Colistine;""74"";17;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""78"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""35"";335;""13.1"";""9.7"";""17.2"";""dans la moyenne"""
"Colistine;""82"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""15"";105;""4.8"";""1.6"";""10.8"";""dans la moyenne"""
"Colistine;""23"";149;""8.7"";""4.7"";""14.5"";""dans la moyenne"""
"Colistine;""40"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""70"";24;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""04"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""14"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""65"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""53"";72;""5.6"";""1.5"";""13.6"";""dans la moyenne"""
