"atb;""dpt"";""nbtot"";""pourR"";""ICinf"";""ICsup"";""catR"""
"Colistine;""51"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""42"";112;""0.9"";""0"";""4.9"";""en-dessous"""
"Colistine;""48"";11;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""62"";16;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""26"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""67"";8;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""NR"";9;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""61"";136;""1.5"";""0.2"";""5.2"";""en-dessous"""
"Colistine;""03"";343;""4.1"";""2.2"";""6.8"";""en-dessous"""
"Colistine;""25"";127;""6.3"";""2.8"";""12"";""dans la moyenne"""
"Colistine;""59"";54;""53.7"";""39.6"";""67.4"";""au-dessus"""
"Colistine;""49"";150;""1.3"";""0.2"";""4.7"";""en-dessous"""
"Colistine;""68"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""02"";30;""10"";""2.1"";""26.5"";""dans la moyenne"""
"Colistine;""19"";73;""5.5"";""1.5"";""13.4"";""dans la moyenne"""
"Colistine;""27"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""87"";114;""71.1"";""61.8"";""79.2"";""au-dessus"""
"Colistine;""46"";2;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""54"";35;""0"";""0"";""10"";""dans la moyenne"""
"Colistine;""31"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""89"";24;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""22"";173;""6.9"";""3.6"";""11.8"";""dans la moyenne"""
"Colistine;""55"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""57"";15;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""71"";122;""1.6"";""0.2"";""5.8"";""en-dessous"""
"Colistine;""05"";9;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""45"";2;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""79"";45;""2.2"";""0.1"";""11.8"";""dans la moyenne"""
"Colistine;""10"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""29"";84;""4.8"";""1.3"";""11.7"";""dans la moyenne"""
"Colistine;""52"";20;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""28"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""88"";19;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""56"";56;""10.7"";""4"";""21.9"";""dans la moyenne"""
"Colistine;""07"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""21"";110;""0.9"";""0"";""5"";""en-dessous"""
"Colistine;""43"";46;""0"";""0"";""7.7"";""en-dessous"""
"Colistine;""18"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""37"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""81"";7;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""50"";13;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""08"";39;""10.3"";""2.9"";""24.2"";""dans la moyenne"""
"Colistine;""38"";23;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""17"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""69"";26;""-"";""-"";""-"";""< ‡ 30 atbg"""
"Colistine;""58"";74;""13.5"";""6.7"";""23.5"";""dans la moyenne"""
