"atb;""dpt"";""nbtot"";""pourR"";""ICinf"";""ICsup"";""catR"""
"TrimÈthoprime-sulfamides;""73"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""76"";48;""56.2"";""41.2"";""70.5"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""89"";24;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""26"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""18"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""54"";35;""48.6"";""31.4"";""66"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""51"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""44"";42;""52.4"";""36.4"";""68"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""87"";114;""51.8"";""42.2"";""61.2"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""03"";343;""45.8"";""40.4"";""51.2"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""21"";109;""44"";""34.5"";""53.9"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""42"";112;""53.6"";""43.9"";""63"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""25"";126;""56.3"";""47.2"";""65.2"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""80"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""85"";72;""54.2"";""42"";""66"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""52"";21;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""50"";13;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""29"";84;""40.5"";""29.9"";""51.7"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""38"";23;""-"";""-"";""-"";""< ‡ 30 atbg"""
