"atb;""dpt"";""nbtot"";""pourR"";""ICinf"";""ICsup"";""catR"""
"TrimÈthoprime-sulfamides;""71"";122;""54.1"";""44.8"";""63.2"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""59"";53;""58.5"";""44.1"";""71.9"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""19"";73;""56.2"";""44.1"";""67.8"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""28"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""40"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""17"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""86"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""69"";26;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""23"";149;""47.7"";""39.4"";""56"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""07"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""39"";102;""65.7"";""55.6"";""74.8"";""au-dessus"""
"TrimÈthoprime-sulfamides;""46"";2;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""67"";8;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""70"";24;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""NR"";9;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""48"";11;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""68"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""79"";45;""42.2"";""27.7"";""57.8"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""15"";105;""37.1"";""27.9"";""47.1"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""45"";2;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""72"";28;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""16"";23;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""58"";74;""43.2"";""31.8"";""55.3"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""34"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""65"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""10"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""49"";149;""38.9"";""31.1"";""47.2"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""35"";335;""52.2"";""46.7"";""57.7"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""56"";56;""48.2"";""34.7"";""62"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""27"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""61"";136;""34.6"";""26.6"";""43.2"";""en-dessous"""
"TrimÈthoprime-sulfamides;""63"";95;""64.2"";""53.7"";""73.8"";""au-dessus"""
"TrimÈthoprime-sulfamides;""05"";9;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""08"";39;""64.1"";""47.2"";""78.8"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""36"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""62"";17;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""01"";72;""63.9"";""51.7"";""74.9"";""au-dessus"""
"TrimÈthoprime-sulfamides;""12"";194;""34.5"";""27.9"";""41.7"";""en-dessous"""
"TrimÈthoprime-sulfamides;""55"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""43"";46;""54.3"";""39"";""69.1"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""78"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""02"";30;""63.3"";""43.9"";""80.1"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""82"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""04"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""31"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""57"";15;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""37"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""74"";17;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""81"";7;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""64"";29;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""41"";7;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""22"";173;""46.8"";""39.2"";""54.5"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""88"";19;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""14"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""24"";37;""27"";""13.8"";""44.1"";""en-dessous"""
"TrimÈthoprime-sulfamides;""53"";72;""44.4"";""32.7"";""56.6"";""dans la moyenne"""
